epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.2017,1.13574,2.03843,1.10592,0.93762,0.31727,0.63597,0.45057,1.15901,2.79657,1.12725,0.000655367,0.000655367,0.000655367
2,26.0929,1.08088,1.22507,1.08385,0.70232,0.65172,0.66869,0.48037,1.13522,1.4364,1.18103,0.00130895,0.00130895,0.00130895
3,38.975,1.10483,1.09013,1.10898,0.75411,0.6847,0.66695,0.44729,1.22284,2.52311,1.29265,0.00194932,0.00194932,0.00194932
4,51.8706,1.06631,0.95828,1.08917,0.62787,0.58971,0.57602,0.38791,1.1895,1.55955,1.21323,0.0019406,0.0019406,0.0019406
5,64.6485,1.07819,0.91232,1.08888,0.77367,0.66755,0.69161,0.48358,1.12784,1.44685,1.17844,0.0019208,0.0019208,0.0019208
6,77.3402,1.0278,0.86155,1.07608,0.83954,0.78687,0.81377,0.59258,1.06375,0.91461,1.13005,0.001901,0.001901,0.001901
7,90.2,0.99305,0.80185,1.05788,0.87209,0.7876,0.8294,0.60023,1.04552,0.90298,1.11711,0.0018812,0.0018812,0.0018812
8,102.866,0.99188,0.80144,1.05756,0.79258,0.7942,0.81947,0.6106,0.98608,0.91531,1.11821,0.0018614,0.0018614,0.0018614
9,115.549,0.9825,0.7929,1.05571,0.85456,0.77573,0.80942,0.59301,1.05326,0.87213,1.11909,0.0018416,0.0018416,0.0018416
10,128.342,0.96746,0.77442,1.04224,0.86077,0.75852,0.81993,0.61887,0.98307,0.94491,1.10002,0.0018218,0.0018218,0.0018218
11,141.162,0.94021,0.74039,1.03947,0.89648,0.77441,0.81853,0.60675,1.05374,0.90322,1.19166,0.001802,0.001802,0.001802
12,154.065,0.94439,0.74188,1.03986,0.90207,0.78364,0.83474,0.61416,1.02466,0.88112,1.11211,0.0017822,0.0017822,0.0017822
13,167,0.95153,0.72112,1.0371,0.88623,0.8016,0.83866,0.62494,0.98888,0.87204,1.10103,0.0017624,0.0017624,0.0017624
14,179.883,0.94059,0.72092,1.0366,0.89321,0.80211,0.85069,0.63679,0.98198,0.83631,1.11769,0.0017426,0.0017426,0.0017426
15,193.037,0.92969,0.70951,1.03027,0.88515,0.72186,0.81105,0.59404,0.98742,0.94381,1.11131,0.0017228,0.0017228,0.0017228
16,206.037,0.9246,0.71544,1.02644,0.87979,0.81108,0.84012,0.62297,0.98522,0.79888,1.11122,0.001703,0.001703,0.001703
17,218.976,0.91433,0.69457,1.02249,0.92507,0.80739,0.85591,0.63704,0.98593,0.76214,1.10389,0.0016832,0.0016832,0.0016832
18,231.99,0.90205,0.67041,1.01693,0.92565,0.8219,0.86007,0.6418,0.96965,0.77773,1.10447,0.0016634,0.0016634,0.0016634
19,244.977,0.89727,0.68103,1.02548,0.91204,0.81398,0.85215,0.65119,0.93217,0.7683,1.08394,0.0016436,0.0016436,0.0016436
20,257.951,0.90647,0.69827,1.02406,0.9374,0.81001,0.85664,0.64752,0.95446,0.74382,1.09513,0.0016238,0.0016238,0.0016238
21,271.061,0.88399,0.67441,1.01937,0.91542,0.81391,0.86064,0.64518,0.92068,0.74363,1.08221,0.001604,0.001604,0.001604
22,284.153,0.89308,0.66252,1.02009,0.91429,0.80215,0.85047,0.62474,0.99785,0.8593,1.12359,0.0015842,0.0015842,0.0015842
23,297.123,0.8752,0.64487,1.00826,0.90014,0.81926,0.86001,0.63352,0.95821,0.77303,1.11021,0.0015644,0.0015644,0.0015644
24,310.167,0.89174,0.63169,1.00992,0.90756,0.81601,0.85892,0.65486,0.93035,0.7466,1.09393,0.0015446,0.0015446,0.0015446
25,323.22,0.87603,0.64301,1.00749,0.87443,0.82586,0.84692,0.64908,0.92954,0.77671,1.06931,0.0015248,0.0015248,0.0015248
26,336.153,0.85521,0.63483,0.99747,0.91047,0.82454,0.86434,0.65568,0.93683,0.71237,1.08951,0.001505,0.001505,0.001505
27,349.105,0.8672,0.63607,1.00155,0.90432,0.80607,0.85349,0.65527,0.92131,0.72766,1.06475,0.0014852,0.0014852,0.0014852
28,361.944,0.84934,0.61213,0.99511,0.91236,0.82405,0.85896,0.65025,0.92122,0.74962,1.08556,0.0014654,0.0014654,0.0014654
29,375.028,0.84817,0.59815,0.9863,0.91572,0.81398,0.85285,0.65419,0.93341,0.72192,1.0684,0.0014456,0.0014456,0.0014456
